team,team_country,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_against,avg_age_against,possession_against,games_against,games_starts_against,minutes_against,minutes_90s_against,goals_against,assists_against,goals_assists_against,goals_pens_against,pens_made_against,pens_att_against,cards_yellow_against,cards_red_against,goals_per90_against,assists_per90_against,goals_assists_per90_against,goals_pens_per90_against,goals_assists_pens_per90_against,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,shots_against,shots_on_target_against,shots_on_target_pct_against,shots_per90_against,shots_on_target_per90_against,goals_per_shot_against,goals_per_shot_on_target_against,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,minutes_per_game_against,minutes_pct_against,minutes_per_start_against,games_complete_against,games_subs_against,minutes_per_sub_against,unused_subs_against,points_per_game_against,on_goals_for_against,on_goals_against_against,plus_minus_against,plus_minus_per90_against,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,cards_yellow_red_against,fouls_against,fouled_against,offsides_against,crosses_against,interceptions_against,tackles_won_against,pens_won_against,pens_conceded_against,own_goals_against,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_games_against,gk_games_starts_against,gk_minutes_against,gk_goals_against_against,gk_goals_against_per90_against,gk_shots_on_target_against_against,gk_saves_against,gk_save_pct_against,gk_wins_against,gk_ties_against,gk_losses_against,gk_clean_sheets_against,gk_clean_sheets_pct_against,gk_pens_att_against,gk_pens_allowed_against,gk_pens_saved_against,gk_pens_missed_against,gk_pens_save_pct_against
Algeria,Algeria,16,27.2,52.0,1,11,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,16,29.4,48.0,1,11,90,1.0,3,2,5,3,0,0,0,0,3.0,2.0,5.0,3.0,5.0,7,0,0.0,7.0,0.0,0.0,,10,6,60.0,10.0,6.0,0.3,0.5,90,100,81,6,5,20,10,0.0,0,3,-3,-3.0,90,100,81,6,5,28,10,3.0,3,0,3,3.0,0,8,13,1,8,8,10,,,0,0,13,7,3,5,12,17,,,0,1,1,90,3,3.0,6,3,50.0,0,0,1,0,0.0,0,0,0,0,,1,1,90,0,0.0,0,0,,1,0,0,1,100.0,0,0,0,0,
Argentina,Argentina,16,29.4,48.0,1,11,90,1.0,3,2,5,3,0,0,0,0,3.0,2.0,5.0,3.0,5.0,16,27.2,52.0,1,11,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,10,6,60.0,10.0,6.0,0.3,0.5,7,0,0.0,7.0,0.0,0.0,,90,100,77,6,5,28,10,3.0,3,0,3,3.0,90,100,77,6,5,20,10,0.0,0,3,-3,-3.0,0,13,7,3,5,12,17,,,0,0,8,13,1,8,8,10,,,0,1,1,90,0,0.0,0,0,,1,0,0,1,100.0,0,0,0,0,,1,1,90,3,3.0,6,3,50.0,0,0,1,0,0.0,0,0,0,0,
Australia,Australia,16,25.1,28.0,1,11,90,1.0,2,1,3,2,0,0,0,0,2.0,1.0,3.0,2.0,3.0,16,27.6,72.0,1,11,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,9,4,44.4,9.0,4.0,0.22,0.5,30,8,26.7,30.0,8.0,0.0,0.0,90,100,83,6,5,16,10,3.0,2,0,2,2.0,90,100,83,6,5,20,10,0.0,0,2,-2,-2.0,0,12,4,1,14,6,5,,,0,0,4,12,3,26,4,7,,,0,1,1,90,0,0.0,8,8,100.0,1,0,0,1,100.0,0,0,0,0,,1,1,90,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,
Austria,Austria,16,29.2,63.0,1,11,90,1.0,2,1,3,1,1,1,1,0,2.0,1.0,3.0,1.0,2.0,16,28.3,37.0,1,11,90,1.0,1,1,2,1,0,0,0,0,1.0,1.0,2.0,1.0,2.0,11,4,36.4,11.0,4.0,0.09,0.25,11,4,36.4,11.0,4.0,0.09,0.25,90,100,76,6,5,30,10,3.0,3,1,2,2.0,90,100,76,6,5,9,10,0.0,1,3,-2,-2.0,0,12,6,3,17,15,8,,,0,0,7,9,1,15,12,7,,,1,1,1,90,1,1.0,4,3,75.0,1,0,0,0,0.0,0,0,0,0,,1,1,90,3,3.0,3,1,33.3,0,0,1,0,0.0,1,1,0,0,0.0
Belgium,Belgium,16,29.6,54.0,1,11,90,1.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,16,29.6,46.0,1,11,90,1.0,1,1,2,1,0,0,2,0,1.0,1.0,2.0,1.0,2.0,15,3,20.0,15.0,3.0,0.0,0.0,14,3,21.4,14.0,3.0,0.07,0.33,90,100,80,6,5,21,9,1.0,1,1,0,0.0,90,100,80,6,5,12,10,1.0,1,1,0,0.0,0,15,15,0,16,10,11,,,0,0,15,14,1,13,12,17,,,1,1,1,90,1,1.0,3,2,66.7,0,1,0,0,0.0,0,0,0,0,,1,1,90,1,1.0,4,3,75.0,0,1,0,0,0.0,0,0,0,0,
Bosnia & Herz.,Bosnia and Herzegovina,16,26.2,39.0,1,11,90,1.0,1,1,2,1,0,0,3,0,1.0,1.0,2.0,1.0,2.0,16,27.3,61.0,1,11,90,1.0,1,1,2,1,0,0,2,0,1.0,1.0,2.0,1.0,2.0,8,3,37.5,8.0,3.0,0.13,0.33,13,4,30.8,13.0,4.0,0.08,0.25,90,100,81,6,5,20,10,1.0,1,1,0,0.0,90,100,81,6,5,21,10,1.0,1,1,0,0.0,0,20,10,0,10,10,13,,,0,0,10,20,1,24,4,15,,,0,1,1,90,1,1.0,2,1,50.0,0,1,0,0,0.0,0,0,0,0,,1,1,90,1,1.0,3,2,66.7,0,1,0,0,0.0,0,0,0,0,
Brazil,Brazil,16,29.8,51.0,1,11,90,1.0,1,1,2,1,0,0,2,0,1.0,1.0,2.0,1.0,2.0,16,25.8,49.0,1,11,90,1.0,1,1,2,1,0,0,0,0,1.0,1.0,2.0,1.0,2.0,12,5,41.7,12.0,5.0,0.08,0.2,14,3,21.4,14.0,3.0,0.07,0.33,90,100,75,6,5,32,9,1.0,1,1,0,0.0,90,100,75,6,5,15,10,1.0,1,1,0,0.0,0,16,14,0,16,5,12,,,0,0,14,16,1,15,4,18,,,0,1,1,90,1,1.0,3,2,66.7,0,1,0,0,0.0,0,0,0,0,,1,1,90,1,1.0,5,4,80.0,0,1,0,0,0.0,0,0,0,0,
Canada,Canada,16,27.3,61.0,1,11,90,1.0,1,1,2,1,0,0,2,0,1.0,1.0,2.0,1.0,2.0,16,26.2,39.0,1,11,90,1.0,1,1,2,1,0,0,3,0,1.0,1.0,2.0,1.0,2.0,13,4,30.8,13.0,4.0,0.08,0.25,8,3,37.5,8.0,3.0,0.13,0.33,90,100,80,6,5,21,10,1.0,1,1,0,0.0,90,100,80,6,5,20,10,1.0,1,1,0,0.0,0,10,20,1,24,4,15,,,0,0,20,10,0,10,10,13,,,0,1,1,90,1,1.0,3,2,66.7,0,1,0,0,0.0,0,0,0,0,,1,1,90,1,1.0,2,1,50.0,0,1,0,0,0.0,0,0,0,0,
Cape Verde,Cape Verde,16,31.4,26.0,1,11,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,16,27.3,74.0,1,11,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,6,1,16.7,6.0,1.0,0.0,0.0,27,7,25.9,27.0,7.0,0.0,0.0,90,100,79,6,5,23,10,1.0,0,0,0,0.0,90,100,79,7,4,14,11,1.0,0,0,0,0.0,0,1,9,3,4,16,10,,,0,0,10,1,2,36,6,12,,,0,1,1,90,0,0.0,7,7,100.0,0,1,0,1,100.0,0,0,0,0,,1,1,90,0,0.0,1,1,100.0,0,1,0,1,100.0,0,0,0,0,
Curaçao,Curaçao,14,28.5,35.0,1,11,90,1.0,1,0,1,1,0,0,0,0,1.0,0.0,1.0,1.0,1.0,14,28.0,65.0,1,11,90,1.0,7,6,13,6,1,1,0,0,7.0,6.0,13.0,6.0,12.0,8,2,25.0,8.0,2.0,0.13,0.5,26,12,46.2,26.0,12.0,0.23,0.5,90,100,83,8,3,26,12,0.0,1,7,-6,-6.0,90,100,83,6,5,18,10,3.0,7,1,6,6.0,0,11,18,1,7,16,7,,,0,0,18,10,0,12,10,13,,,0,1,1,90,7,7.0,10,4,40.0,0,0,1,0,0.0,1,1,0,0,0.0,1,1,90,1,1.0,2,1,50.0,1,0,0,0,0.0,0,0,0,0,
Czechia,Czech Republic,15,28.2,38.0,1,11,90,1.0,1,1,2,1,0,0,0,0,1.0,1.0,2.0,1.0,2.0,15,28.7,62.0,1,11,90,1.0,2,2,4,2,0,0,1,0,2.0,2.0,4.0,2.0,4.0,7,4,57.1,7.0,4.0,0.14,0.25,15,6,40.0,15.0,6.0,0.13,0.33,90,100,82,7,4,22,11,0.0,1,2,-1,-1.0,90,100,82,6,5,17,10,3.0,2,1,1,1.0,0,16,9,2,15,7,7,,,0,0,9,16,2,12,11,4,,,0,1,1,90,2,2.0,6,4,66.7,0,0,1,0,0.0,0,0,0,0,,1,1,90,1,1.0,4,3,75.0,1,0,0,0,0.0,0,0,0,0,
Côte d'Ivoire,Côte d'Ivoire,16,26.2,48.0,1,11,90,1.0,1,1,2,1,0,0,3,0,1.0,1.0,2.0,1.0,2.0,16,27.0,52.0,1,11,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,15,4,26.7,15.0,4.0,0.07,0.25,12,1,8.3,12.0,1.0,0.0,0.0,90,100,81,6,5,20,10,3.0,1,0,1,1.0,90,100,81,7,4,27,11,0.0,0,1,-1,-1.0,0,10,13,0,7,11,9,,,0,0,13,9,0,14,13,14,,,0,1,1,90,0,0.0,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,1,1,90,1,1.0,4,3,75.0,0,0,1,0,0.0,0,0,0,0,
Ecuador,Ecuador,15,27.0,52.0,1,11,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,15,26.2,48.0,1,11,90,1.0,1,1,2,1,0,0,3,0,1.0,1.0,2.0,1.0,2.0,12,1,8.3,12.0,1.0,0.0,0.0,15,4,26.7,15.0,4.0,0.07,0.25,90,100,80,7,4,27,11,0.0,0,1,-1,-1.0,90,100,80,6,5,20,10,3.0,1,0,1,1.0,0,13,9,0,14,13,14,,,0,0,10,13,0,7,11,9,,,0,1,1,90,1,1.0,4,3,75.0,0,0,1,0,0.0,0,0,0,0,,1,1,90,0,0.0,1,1,100.0,1,0,0,1,100.0,0,0,0,0,
Egypt,Egypt,16,29.6,46.0,1,11,90,1.0,1,1,2,1,0,0,2,0,1.0,1.0,2.0,1.0,2.0,16,29.6,54.0,1,11,90,1.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,14,3,21.4,14.0,3.0,0.07,0.33,15,3,20.0,15.0,3.0,0.0,0.0,90,100,85,6,5,12,10,1.0,1,1,0,0.0,90,100,85,6,5,21,9,1.0,1,1,0,0.0,0,15,14,1,13,12,17,,,1,0,15,15,0,16,10,11,,,0,1,1,90,1,1.0,4,3,75.0,0,1,0,0,0.0,0,0,0,0,,1,1,90,1,1.0,3,2,66.7,0,1,0,0,0.0,0,0,0,0,
France,France,13,27.2,54.0,1,11,90,1.0,3,2,5,3,0,0,0,0,3.0,2.0,5.0,3.0,5.0,13,29.1,46.0,1,11,90,1.0,1,1,2,1,0,0,0,0,1.0,1.0,2.0,1.0,2.0,11,8,72.7,11.0,8.0,0.27,0.38,6,2,33.3,6.0,2.0,0.17,0.5,90,100,89,9,2,8,13,3.0,3,1,2,2.0,90,100,89,6,5,10,10,0.0,1,3,-2,-2.0,0,5,8,1,9,7,14,,,0,0,9,5,3,9,8,9,,,0,1,1,90,1,1.0,3,2,66.7,1,0,0,0,0.0,0,0,0,0,,1,1,90,3,3.0,8,5,62.5,0,0,1,0,0.0,0,0,0,0,
Germany,Germany,16,28.0,65.0,1,11,90,1.0,7,6,13,6,1,1,0,0,7.0,6.0,13.0,6.0,12.0,16,28.5,35.0,1,11,90,1.0,1,0,1,1,0,0,0,0,1.0,0.0,1.0,1.0,1.0,26,12,46.2,26.0,12.0,0.23,0.5,8,2,25.0,8.0,2.0,0.13,0.5,90,100,82,6,5,18,10,3.0,7,1,6,6.0,90,100,82,8,3,26,12,0.0,1,7,-6,-6.0,0,18,10,0,12,10,13,,,0,0,11,18,1,7,16,7,,,0,1,1,90,1,1.0,2,1,50.0,1,0,0,0,0.0,0,0,0,0,,1,1,90,7,7.0,10,4,40.0,0,0,1,0,0.0,1,1,0,0,0.0
